"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","분위기","장르 대분류","장르 대분류 영어","카테고리 / 키워드 명칭 (영문)","매칭 상세 설명 및 활용 팁","제목1","프롬프트1(속도 느림)","제목2","프롬프트2(속도 보통)","제목3","프롬프트3(속도 빠름)"
"","98","Dramatic","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Special Occasions","연말 시즌, 축제, 기념일 등 특별한 행사의 설렘과 행복을 주는 시즌 테마","Evening Toast","slow elegant cinematic orchestral ballad, sweeping grand piano chords, romantic symphonic strings, prestigious gala celebration opening, 72 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Gala Parade","mid-tempo triumphant orchestral parade, soaring brass fanfare melodies, driving snare drum rolls, majestic festive ceremonial celebration, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Grand Carnival","fast high-energy electronic pop anthem, explosive modern house beats, bright synth lead melody, cheerful clapping, grand festival energy, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","99","Dramatic","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Christmas","크리스마스 캐롤 스타일이나 겨울 연말 특유의 따뜻하고 반짝이는 무드","Winter Blanket","slow warm christmas orchestral ballad, emotional solo piano melody, cozy soft string pads, distant gentle sleigh bell textures, fireplace mood, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Santa's Workshop","mid-tempo cheerful christmas bells pop, sparkling rapid glockenspiel riffs, lively acoustic guitar chugs, upbeat snapping festive rhythm, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Jingle Bell Rockout","fast energetic holiday rock and roll, driving electric guitar solos, rapid rhythmic sleigh bells, powerful acoustic drums, joyful celebration, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","100","Cute","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Eccentric & Quirky","독특하고 엉뚱하며 예측 불가능한 개성 넘치는 상황을 묘사하는 통통 튀는 소리","Curious Inspector","slow playful quirky pizzicato strings, tip-toe acoustic upright bass, minimalist marimba loop, comedic mysterious deduction vlog, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Wobbly Gizmo","mid-tempo eccentric electronic pop, funny rubbery synth bassline, whistling hooks, syncopated ticking sound design, playful cartoon mischief, 108 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Chaos Theory","fast hyperactive avant-garde comedic pop, chaotic rapid xylophone runs, sliding trombone wails, frantic snare drumming, funny anime montage, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","101","Sad","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Funerals","장례식이나 이별, 깊은 애도의 순간에 필요한 엄숙하고 정막한 장송곡 무드","The Last Farewell","slow mournful solemn church organ chorale, weeping solo cello lines, quiet dark ambient spacing, respectful deep sorrowful atmosphere, 52 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Mourning Procession","slow majestic tragic orchestral march, solemn thumping timpani hits, heavy dark string sections, historical mourning pacing, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Elegiac Climax","mid-tempo intense dramatic tragedy score, passionate rising symphonic strings, heavy low piano chords, explosive heart-wrenching finale, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","102","Romantic","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Wedding","결혼식의 성스러움과 새로운 출발의 설렘, 로맨틱하고 축복 가득한 웨딩송","Chapel Vow","slow sacred romantic wedding strings, delicate solo harp arpeggios, beautiful swelling violin pads, angelic emotional love theme, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Aisle Walk","mid-tempo inspiring wedding pop ballad, bright acoustic piano melody, crisp clean drums, soaring warm string accompaniment, joyful start, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Reception Ballroom","fast high-energy big band swing jazz, celebratory bright trumpet fanfare, driving lively drums, joyful wedding after-party energy, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","103","Dreamy","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Religious Theme","경건하고 평화로우며 종교적인 신성함을 자아내는 배경 사운드","Monastery Sanctum","slow sacred religious drone, deep spiritual vocal choir harmonies, solemn airy organ pad reverb, timeless ancient meditation space, 55 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Graceful Sanctuary","slow beautiful contemporary new age hymn, gentle solo piano notes, warm swelling string section, peaceful spiritual healing vibe, 72 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Gospel Jubilee","fast high-energy uplifting gospel pop, driving syncopated piano rolls, explosive choir sections, joyous celebratory church rhythm, 125 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","104","Romantic","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Amusement Park","놀이공원의 회전목마나 페스티벌이 연상되는 환상적이고 들뜬 분위기","Dream Carousel","slow whimsical circus waltz, dreamy music box melody, old-fashioned mechanical organ backing, nostalgia amusement park safe zone, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Coaster Rush","mid-tempo energetic marching band style pop, punchy brass lines, lively percussive snare rolls, happy carnival festival atmosphere, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Neon Parade","fast hyperactive synth-pop dance, sparkling rapid electronic sequences, driving bouncy bass, unstoppable high-energy fun park theme, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","105","Horror","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Scary Childrens Tunes","오르골처럼 동요 같지만 은근히 오싹한 느낌을 주어 잔혹동화 연출에 쓰이는 반전 사운드","Broken Music Box","slow creepy music box melody, out-of-tune fragile bell notes, eerie underlying synthesizer drone pads, horror dark fairytale mood, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Playroom Ghost","mid-tempo unsettling kids room thriller, plucky staccato pizzicato strings, low ticking marimba, sporadic creepy toy sound fx, 90 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Nightmare Carousel","fast frantic horror circus theme, chaotic detuned organ riffs, aggressive syncopated drums, intense terrifying escape velocity, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","106","Calm","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Happy Childrens Tunes","아이들이 좋아하는 밝고 명랑하며 경쾌한 동요 스타일의 멜로디","Crib Lullaby","slow cozy happy kids tune, soft gentle xylophone notes, acoustic guitar fingerpicking, warm reassuring nursery rhyme background, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Playground Fun","mid-tempo cheerful children pop, bright whistling hook, playful glockenspiel melody, handclaps, lively bouncy drum kit, happy commercial, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Sunshine Run","fast energetic kids rock pop, driving electric rhythm guitar, hyperactive ukulele plucks, joyful snapping percussion, maximum fun energy, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","107","Dreamy","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Fantasy & Dreamy Childrens'","요정이나 마법 세계가 연상되는 포근하고 몽환적인 감성의 키즈 음악","Starlight Pixie","slow dreamy fantasy ambient, magical sparkling wind chimes, soft celestial synth pads, gentle harp melody, sleeping fairytale mood, 62 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Magic Spell School","mid-tempo whimsical fantasy orchestration, playful woodwind runs, bright glockenspiel motifs, sweeping melodic cello strings, adventure, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Wizard Flight","fast high-energy fantasy symphonic score, rapid frantic violin strings, triumphant majestic brass stabs, cinematic hero flight theme, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","108","Solemn","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Military & Historical","군대 마칭 드럼, 비장한 나팔 소리 등 역사적 서사나 절제된 연출용 사운드","Dawn of Empire","slow solemn historical orchestral, deep mourning brass section chorale, distant military snare drum rolls, epic battlefield scenery, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","The Regiment March","classic mid-tempo military pipe and drum march, crisp uniform snare drum rolls, noble trumpet melodies, majestic patriotic pacing, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cavalry Charge","fast aggressive cinematic war score, furious rhythmic orchestral staccato strings, thunderous impact drums, urgent brass section blast, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","109","Upbeat","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Usa","광활한 로드무비 감성이나 미국 전통 전원 무드가 살아있는 사운드 텍스처","Desert Horizon","slow traditional western folk, weeping pedal steel guitar, slow lazy warm acoustic guitar chugs, authentic dusty cowboy cabin mood, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Route 66 Drive","mid-tempo american roots rock, driving electric blues rhythm section, clear melodic bassline, crisp rock drums, classic road trip vibe, 112 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Texas Stampede","fast high-energy southern country rock, blistering rapid country guitar licks, thunderous stadium drums, driving aggressive western velocity, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","110","Dramatic","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Beautiful Plays","아름답고 감성적인 연주 중심의 선율 소스","Silk Symphony","slow beautiful melodic strings, elegant solo violin lead, lush emotional orchestral padding, cinematic romance soundtrack background, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Morning Dew","mid-tempo clean beautiful acoustic guitar session, bright lyrical fingerpicking, gentle cello backdrop, refreshing organic lifestyle, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Ethereal Cascade","fast sparkling new age piano arpeggios, cascading rapid high-pitched crystal synths, beautiful uplifting emotional energy flow, 132 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","111","Calm","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Acoustic Group","통기타, 퍼커션 등 전기적 왜곡이 없는 자연 악기들이 합주하는 편안한 구성","Campfire Calm","slow organic acoustic group session, gentle nylon guitar picking, soft warm shaker, minimalist double bass pizzicato, relaxing cozy cabin, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Meadow Walk","mid-tempo cheerful acoustic pop, rhythmic wooden cajon beats, acoustic guitar strumming, bright mandolin plucks, organic commercial, 112 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Tavern Stomp","fast energetic folk rock session, furious handclaps, pounding foot stomps, rapid driving acoustic guitars, lively rustic party energy, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","112","Minimal","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Solo Piano","피아노 단독 연주로 미니멀하고 깊은 여운을 주는 사운드","Rainy Window Piano","slow melancholic solo piano melody, minimalist delicate chords, spacious warm ambient reverb, emotional art film soundtrack background, 58 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Morning Coffee Piano","mid-tempo sophisticated contemporary solo piano, flowing elegant pop jazz chord voicings, relaxing chic studio apartment vibe, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Kinetic Studio Piano","fast dramatic solo piano arpeggios, rapid intricate interlocking note patterns, high-intensity intellectual drive, technical focus, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","113","Dramatic","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Solo Instruments","특정 악기 하나에만 온전히 집중하여 정갈하게 이끌고 가는 솔로 연주","Lonely Saxophone","slow smoky solo jazz saxophone improvisation, deep emotional breathy notes, intimate space reverb, nocturnal urban street background, 60 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","The Weeping Cello","slow deeply emotional solo acoustic cello piece, heavy rich melancholic low strings, cinematic tragic classical performance, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Virtuoso Flute","fast hyperactive technical solo woodwind flute improvisation, rapid frantic note flurries, expressive organic avant-garde melody, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","114","Comical","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Solo Classical Instruments","바이올린, 첼로 등 클래식 악기 하나만으로 정형화되어 연주되는 형태","Bach Solitude Cello","traditional slow solo classical cello, formal bach-style classical suite structure, rich authentic wooden resonance, intellectual focus, 62 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Paganini Etude Violin","mid-tempo intricate classical solo violin, traditional technical composition, clear crisp staccato plucking, refined salon vibe, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Presto Capriccio Violin","fast virtuosic rapid solo classical violin, blistering fast scale runs, intense precise classical performance, high artistic tension, 142 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","115","Solemn","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Marching Band","고취적인 관악기와 스네어 드럼의 규칙적인 비트가 돋보이는 군악대 스타일","Sober Cadence","slow military marching band cadence, minimalist steady snare drum rolls, distant solemn low brass horn statements, formal pacing, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Football Half-time","classic mid-tempo marching band, punchy brass horn section riffs, lively crisp percussive drumline, celebratory high school sport energy, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Victory Parade","fast explosive marching band finale, rapid frantic snare rudiments, bright loud trumpets blasting, joyous stadium celebration tempo, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","116","Dramatic","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Solo Guitar","통기타나 클래식 기타 단독 연주로 차분하고 내추럴한 분위기 메이커","Spanish Lullaby","slow delicate solo nylon classical guitar, emotional traditional fingerstyle picking, warm organic space reverb, intimate relaxing mood, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Rustic Folk Strum","mid-tempo simple solo acoustic folk guitar, bright steady rhythm strumming loop, authentic organic daily lifestyle vlog background, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Blistering Flamenco","fast virtuosic rapid solo flamenco guitar, frantic lightning-fast rasgueado technique, intense passionate latin performance energy, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","117","Calm","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Oompah Band","독일 옥토버페스트처럼 튜바와 아코디언 중심의 흥겹고 쿵짝거리는 브라스 밴드","Bavarian Lodge","slow relaxed traditional oompah band, lazy bass tuba notes, gentle rhythm accordion chords, warm rustic german tavern background mood, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Oktoberfest Beer Hall","classic mid-tempo energetic oompah band, lively bouncing brass tuba groove, crisp snare accent, joyous beer festival celebration theme, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Presto Polka Fest","fast frantic oompah polka band, rapid hyperactive brass section melodies, galloping percussion, high-speed carnival dance energy, 142 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","118","Calm","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Classical String Quartet","바이올린 2대, 비올라, 첼로로 구성되어 기품 있고 격조 높은 분위기 연출","Courtly Elegance","traditional slow classical string quartet, refined elegant harmony, gentle bowing technique, sophisticated museum art gallery atmosphere, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Viennese Salon","classic mid-tempo string quartet waltz, bouncing rhythmic staccato cello plucking, bright soaring violin melodies, aristocratic mood, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Quartet Presto Sprint","fast intricate chamber string quartet presto, furious interlocking rapid violin runs, intense sophisticated high-energy classic tempo, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","119","Dramatic","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Big Band","웅장한 브라스 세션이 이끄는 화려하고 임팩트 있는 스윙 재즈 밴드 스타일","Cotton Club Blue","slow smoky big band jazz ballad, rich warm muted brass section textures, lazy jazzy drum brush loops, elegant vintage glamour vibe, 72 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Broadway Show Opener","classic mid-tempo swinging big band, explosive crisp horn section blast hooks, walking bassline, high-octane theatrical entertainment, 118 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Harlem Riot","fast hyperactive big band swing, frantic driving drums, blistering rapid trumpet jazz solos, wild dance hall celebration tempo, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","120","Minimal","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","High Drones","길게 지속되는 고음역대의 음으로 신비롭거나 우주적인 공간감을 조성","Astral Gateway","ultra-slow high drone synthesizer texture, crystal clean cosmic frequency, spacious shimmering delay pads, no beats, deep space galaxy travel, 45 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Mirage Shimmer","slow glowing high electronic synth drone, subtle shifting pitch harmonics, floating dreamlike background texture, technical focus mood, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Etherial Tension Pulse","mid-tempo high electronic drone weave, piercing digital frequencies layered with a fast subtle sub-pulse, sharp hi-tech investigation tension, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","121","Suspenseful","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Pulses","규칙적으로 쿵쿵 뛰는 전자적 펄스 음으로 은근한 긴장감을 부여하는 소스","Subterranean Clock","slow minimalistic electronic pulse, steady quiet heartbeat-like low kick drum, investigative dark ticking synthesizer sound, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Data Processing","mid-tempo crisp digital pulse sequence, rhythmic clean electronic clicks, driving modular synth bass pulse, sleek technology design vlog, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cyber Escape Route","fast relentless electronic matrix pulse, rapid syncopated analog synthesizer bassline chugs, frantic technology security action, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","122","Comical","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Low Drones","아주 낮게 깔리며 지속되는 저음역대의 음으로 무거운 공간감과 압박감 표현","Abyssal Trench","ultra-slow low drone sub-bass atmosphere, heavy ominous brooding synthesizer frequencies, no beats, dark claustrophobic deep sea cavern, 40 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Sub-Surface Lurker","slow dark tense low drone soundscape, subtle industrial friction texture, creeping low-frequency sound design, intense horror suspense, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Underground Machine","mid-tempo low electronic drone grid, heavy distorted analog bass growl loop, steady minimal industrial kick drum, deep dark warehouse pressure, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","123","Groovy","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","High Rhythmic Drones","리드미컬한 파동이 있는 고음역대의 드론음으로 신비롭고 미래지향적인 텐션 유도","Digital Hive","slow high rhythmic drone synth, gentle pulsing high-pitched electronic oscillations, ethereal spacious digital web background texture, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Matrix Stream","mid-tempo high rhythmic synthesizer drone, sharp clean rapid panning arpeggio loops, crisp electronic sound design, tech corporate success, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Laser grid Pursuit","fast aggressive high rhythmic drone sequence, piercing bright electronic frequencies chugging at maximum speed, high-voltage sci-fi tension, 142 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","124","Groovy","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Low Rhythmic Drones","아주 낮게 지속되는 저음에 일정한 파동(리듬)이 있어 심해나 SF 영화에 쓰이는 텍스처","Sub-Oceanic Pulse","slow low rhythmic drone, heavy sub-bass waves rolling in an exact slow frequency, dark deep sea investigative documentary background, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Reactor Leak","mid-tempo low rhythmic synthesizer drone, grinding analog bass loop, pulsing ominous industrial vibration, high sci-fi security panic atmosphere, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cyber Engine Drive","fast aggressive low rhythmic drone core, frantic distorted mechanical bass loops, thumping futuristic electronic kicks, high-speed gaming action, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","125","Upbeat","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","High Non Rhythmic Drones","박자(리듬) 없이 길게 지속되는 고음으로 SF 우주 공간이나 미지의 신비감 연출","Cosmic Static","ultra-slow high non rhythmic drone soundscape, pure sprawling bright crystal synth frequency, long infinity reverb delays, no beats, deep space void, 45 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Frozen Nebula","slow icy high non rhythmic synth drone, eerie hollow metallic textures floating randomly, mysterious abstract sci-fi exploration mood, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Tense Wire Shiver","mid-tempo high non rhythmic drone layer, piercing sharp unstable string-like frequencies, underlying low rumble, intense thriller suspense focus, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","126","Groovy","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Low Non Rhythmic Drones","박자 없이 무겁게 깔리는 저음 텍스처로 동굴, 심해의 은밀한 압박감 조성","Forgotten Abyss","ultra-slow low non rhythmic drone, endless sub-bass canyon depth, no rhythm, dark empty catacomb echo texture, pure atmospheric pressure, 40 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Lurking Horror Drone","slow terrifying low non rhythmic synth drone, chaotic muddy frequency shifting, cold low-end rumble sound design, extreme movie monster dread, 60 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Industrial Void","mid-tempo low non rhythmic drone grid, distant muted continuous metal factory hum, cold dark mechanical warehouse ambience, abstract spacing, 85 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","127","Minimal","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Abstract","현대 미술 공간에 흐를 법한 실험적이고 미니멀하며 지적인 무드의 사운드","Avant-Garde Sleep","slow abstract ambient soundscape, random disjointed clean piano note drops, misty washing textures, experimental modern art museum mood, 55 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Gallery Logic","mid-tempo minimalistic abstract electronic, micro-glitch clicking percussion loops, warm modular synth tones, sophisticated creative architecture, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Geometric Friction","fast high-concept abstract sonic design, complex syncopated wooden percussion rolls, rapid sudden glitch stutters, intense conceptual energy, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","128","Comical","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Percussion","멜로디를 배제하고 타악기의 고유한 타격감만으로 원시적인 에너지를 내는 소스","Primal Echoes","slow tribal percussion ritual, heavy spacious low frame drum strikes, resonant wooden rattle accents, raw earthy shamanic cave atmosphere, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Taiko War Train","mid-tempo dynamic cinematic percussion ensemble, driving japanese taiko drum rhythm, syncopated field drums, rolling energy, epic battle montage, 118 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Furious Bongo Run","fast hyperactive percussive jam, rapid syncopated bongo and conga drum rolls, aggressive shaker loops, frantic chase scene adrenaline rhythm, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","129","Calm","악기 및 사운드 텍스처","09_Instruments_and_Audio_Textures","Oomph / Volume2","사운드의 타격감이나 음향 볼륨의 텍스처 다이내믹을 조정할 때 연동하는 태그","Soft Low Impact","slow minimal chill beat, heavily compressed punchy but muted sub kick drum, soft volume dynamics, gentle understated lo-fi room layout vibe, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Dynamic Shift","mid-tempo aggressive modern bass pop, sharp sudden shifts in audio volume, loud punching drums, maximum sound dynamic impact for video edits, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Maximum Loudness Explosion","fast ultra-loud energetic hybrid trap edm, blowing distorted sub bass punch, heavy max volume percussion claps, extreme audio power delivery, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","130","Nostalgic","일렉트로닉 / 힙합 서브컬처","10_Electronic_HipHop_Subcultures","Synthwave / Retrowave","80년대 아날로그 감성과 네온빛 미래 세계관을 연출할 때 최적화된 사이버 펑크 계열 장르","Sunset Horizon Cruise","dreamy slow synthwave, retro analog synth brass leads, lush gated reverb snare drum, nostalgic 80s neon car drive vibe, relaxing outrun mood, 85 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Grid Runner","classic driving retrowave style, pumping synthesizer bassline, punchy 80s drum machine beat, futuristic glowing electronic melodies, technology, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cyber Heist Speed","fast aggressive cyberpunk synthwave, dark chugging distorted synth bass, rapid laser-like electronic sound design, intense racing action tempo, 142 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
